author_id,timestamp,datetime,comment_score,comment,comment_length,product_id,rank_id,rank_name,comment_like,image_num
24604183,1458189083,2016-03-17 12:31:23,5,收到货都是青的，看起来不错,13,126571,2,普通会员,0,0
24491001,1458133333,2016-03-16 21:02:13,5,很好，价格好，质量好,10,12055,2,普通会员,0,0
24725413,1457823737,2016-03-13 07:02:17,5,和外面卖的没什么两样。我是不熟的。太差劲了,21,126571,1,注册会员,0,0
1680660,1457779880,2016-03-12 18:51:20,5,ok，ok，ok，ok，ok，ok，ok，ok，ok，,27,12055,5,钻石会员,0,0
13835384,1457576362,2016-03-10 10:19:22,5,非常不错......,10,126571,5,钻石会员,0,0
239905,1457442511,2016-03-08 21:08:31,5,送货速度没以前快了,9,12055,4,金卡会员,0,0
1680660,1457441415,2016-03-08 20:50:15,5,ok，ok，ok，ok，ok，ok，ok，ok，ok，,27,12055,5,钻石会员,0,0
24335,1457333298,2016-03-07 14:48:18,5,这回不错，没有冻黑了，可以买进。,16,12055,5,钻石会员,0,0
1680660,1457092794,2016-03-04 19:59:54,5,ok，ok，ok，ok，ok，ok，ok，ok，ok，,27,12055,5,钻石会员,0,0
1688264,1457083160,2016-03-04 17:19:20,5,收到都烂掉了  怎么能吃 ,13,12055,2,普通会员,0,1
4486209,1456987310,2016-03-03 14:41:50,5,真的很不错，快递速度不用说，香蕉超级好吃~~,22,12055,3,银卡会员,0,0
24376719,1456967037,2016-03-03 09:03:57,2,有一根，有一小部分有坏的地方！,15,12055,2,普通会员,0,1
23573363,1456754670,2016-02-29 22:04:30,5,硬的，貌似没有熟,8,12055,2,普通会员,0,0
1680660,1456742570,2016-02-29 18:42:50,5,"ok,ok,ok,ok,ok,ok,ok,ok,ok,",27,12055,5,钻石会员,0,0
905382,1456569852,2016-02-27 18:44:12,5,韦沃VIVA 牛奶（香蕉口味） 200ML*27,24,12055,5,钻石会员,0,0
1680660,1456228839,2016-02-23 20:00:39,5,ok，ok，ok，ok，ok，ok，ok，ok，,24,12055,5,钻石会员,0,0
24365253,1456133355,2016-02-22 17:29:15,4,香蕉太生，有点硬，不好吃。,13,12055,2,普通会员,0,0
4394023,1456052154,2016-02-21 18:55:54,5,"菲律宾 超甜蕉4-6根/把 0.7kg, 挺好的",24,12055,2,普通会员,0,0
14813709,1456050030,2016-02-21 18:20:30,5,"进口 超甜蕉1把 （4-6根约0.7-0.9kg）, 老客户,不多说啥",35,12055,2,普通会员,0,0
14844193,1456049823,2016-02-21 18:17:03,5,"超甜蕉3把（12-15根）, 还行",17,126571,2,普通会员,0,0
1004585,1456049424,2016-02-21 18:10:24,5,"进口 超甜蕉1把 （4-6根约0.7-0.9kg）, 好多次买了",32,12055,5,钻石会员,0,0
3087212,1455949816,2016-02-20 14:30:16,1,"收到一把这样的！
",9,12055,2,普通会员,0,1
1213540,1455858300,2016-02-19 13:05:00,5,全部都黑了，没法吃了，这样的货还送，太不象顺丰的品质了。,28,12055,5,钻石会员,0,0
8367731,1455829501,2016-02-19 05:05:01,5,货到已冻黑了,6,12055,2,普通会员,0,0
24313097,1455780252,2016-02-18 15:24:12,5,4-6根，只发了4根，0.7kg-0.9kg，实际只有0.52kg.分量严重不足,40,12055,2,普通会员,0,0
9928143,1455778210,2016-02-18 14:50:10,5,很好  很喜欢   物流非常快,15,126571,5,钻石会员,0,1
1680660,1455771132,2016-02-18 12:52:12,5,ok.ok.ok.ok.ok.ok.ok.ok.ok.,27,126571,5,钻石会员,0,0
24294535,1455756034,2016-02-18 08:40:34,5,都是冻坏的寄过来！,9,12055,2,普通会员,0,0
8617291,1455542862,2016-02-15 21:27:42,5,4根全是烂的 不会再买,11,12055,2,普通会员,0,0
1680660,1455442527,2016-02-14 17:35:27,5,ok，ok，ok，ok，ok，ok，ok，ok，ok，,27,126571,5,钻石会员,0,0
473231,1455357480,2016-02-13 17:58:00,5,顺丰给力哦，春节期间第二天送到！,16,12055,2,普通会员,0,0
267471,1455286145,2016-02-12 22:09:05,5,冻了！客服解决问题不错,11,12055,5,钻石会员,0,0
57869,1455110768,2016-02-10 21:26:08,5,超级不新鲜,5,12055,4,金卡会员,0,2
1016094,1455088894,2016-02-10 15:21:34,5,来的时候冻了，商家给退了款，很满意。,18,12055,3,银卡会员,0,0
209283,1454470012,2016-02-03 11:26:52,2,应该是冻了，一放还没等变黄就全黑了，还生着不能吃,24,12055,3,银卡会员,0,0
4787505,1454373652,2016-02-02 08:40:52,5,这款不好，买了4根坏了4,12,12055,5,钻石会员,0,0
1274826,1454306445,2016-02-01 14:00:45,5,很好吃哟,4,12055,2,普通会员,0,0
24158369,1454291659,2016-02-01 09:54:19,5,香蕉大部分都有冻伤，严重影响口感，大过年的还没法换,25,12055,2,普通会员,0,0
18753365,1454262524,2016-02-01 01:48:44,5,香蕉没有坏，寄来还是很好，很甜，很好吃，很实惠,23,12055,4,金卡会员,0,0
1884584,1454229798,2016-01-31 16:43:18,5,好,1,12055,4,金卡会员,0,0
24132067,1454228440,2016-01-31 16:20:40,5,据说到家的时候，他身上都是黑点子了。。。。。。怎能下得去嘴啊。。。。。。╮(╯▽╰)╭,43,12055,2,普通会员,0,0
12260319,1454167146,2016-01-30 23:19:06,4,香蕉太生，而且有一半已经黑了。,15,12055,2,普通会员,0,0
24128447,1454153874,2016-01-30 19:37:54,5,一般，产地变成了厄瓜多尔，大的没有多少，充数的小的很多，还有局部有点烂。,36,126571,2,普通会员,0,0
1680660,1454153741,2016-01-30 19:35:41,5,ok，ok，ok，ok，ok，ok，ok，ok，ok，,27,12055,5,钻石会员,0,0
17194809,1454083751,2016-01-30 00:09:11,5,很大一根，青绿色，新鲜0。,13,126571,2,普通会员,0,0
23673765,1454058063,2016-01-29 17:01:03,5,哈！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,30,12055,2,普通会员,0,0
23824595,1454028393,2016-01-29 08:46:33,5,和市场上的差不多吧。,10,126571,2,普通会员,0,0
237091,1453895394,2016-01-27 19:49:54,5,冻坏了一半，不大好!,10,12055,4,金卡会员,0,0
17474289,1453792448,2016-01-26 15:14:08,5,谢谢商家！！！谢谢快递！！！！,15,126571,3,银卡会员,0,0
