author_id,timestamp,datetime,comment_score,comment,comment_length,product_id,rank_id,rank_name,comment_like,image_num
9123883,1428939564,2015-04-13 23:39:24,5,非常不错 下次还来 买了几次了,15,37198,3,银卡会员,0,0
8618979,1425257840,2015-03-02 08:57:20,5,是让人很放心的食品，已经买过多次了，送货很及时，非常的人性化，继续支持你们,37,37198,2,普通会员,0,0
14137086,1458186723,2016-03-17 11:52:03,5,好吃，味道鲜美，就是有点贵,13,37198,4,金卡会员,0,0
282498,1457602757,2016-03-10 17:39:17,5,好没吃，看着不错,8,43126,3,银卡会员,0,0
711798,1457424392,2016-03-08 16:06:32,5,还不错，包饺子用的，价格能优惠些就更好了,20,43126,3,银卡会员,0,0
24546805,1457159599,2016-03-05 14:33:19,4,凑单买的，已经绞好的肉馅，是肥肉的，精肉也不少。,24,43126,2,普通会员,0,0
1201471,1456967667,2016-03-03 09:14:27,5,东西很好，多次购买了，物流也很好！,17,43126,3,银卡会员,0,1
24005931,1456808259,2016-03-01 12:57:39,5,包饺子好吃，有从前的味道，不错！,16,43126,2,普通会员,0,0
15837127,1456541501,2016-02-27 10:51:41,5,很好吃，配上春笋和香菇包饺子一级棒,17,37198,3,银卡会员,0,0
12817589,1456051681,2016-02-21 18:48:01,5,"精气神 山黑猪肥肉馅 400g, 顺丰服务不错",23,37198,2,普通会员,0,0
12817581,1456051680,2016-02-21 18:48:00,5,"精气神 山黑猪肥肉馅 400g, 顺丰服务不错",23,37198,2,普通会员,0,0
12817569,1456051679,2016-02-21 18:47:59,5,"精气神 山黑猪肥肉馅 400g, 优惠点更好了",23,37198,2,普通会员,0,0
12817561,1456051678,2016-02-21 18:47:58,5,"精气神 山黑猪肥肉馅 400g, 顺丰服务不错",23,37198,2,普通会员,0,0
12813869,1456051678,2016-02-21 18:47:58,5,"精气神 山黑猪肥肉馅 400g, 老客户,不多说啥",25,37198,2,普通会员,0,0
8247139,1456050206,2016-02-21 18:23:26,5,"精气神 山黑猪肥肉馅 400g*2, 还可以",22,43126,3,银卡会员,0,0
14814279,1456049750,2016-02-21 18:15:50,5,"精气神 山黑猪肥肉馅 400g*2, very good.",29,43126,2,普通会员,0,0
14811923,1456049461,2016-02-21 18:11:01,5,"精气神 山黑猪肥肉馅 400g*2, 还行",21,43126,2,普通会员,0,0
14843897,1456048702,2016-02-21 17:58:22,5,"精气神 山黑猪肥肉馅 400g*2, 好多次买了",24,43126,2,普通会员,0,0
1006468,1456048579,2016-02-21 17:56:19,5,"精气神 山黑猪肥肉馅 400g*2, 凑合吧",22,43126,5,钻石会员,0,0
16119935,1455589210,2016-02-16 10:20:10,5,不错。。。。。。。,9,43126,3,银卡会员,0,0
905382,1455266283,2016-02-12 16:38:03,5,商品很好，送货很快，支持优选~~,16,43126,5,钻石会员,0,0
24195045,1454494757,2016-02-03 18:19:17,5,不错,2,37198,2,普通会员,0,0
3161156,1454299262,2016-02-01 12:01:02,5,一如既往的信赖顺丰,9,43126,5,钻石会员,0,0
15663453,1454290822,2016-02-01 09:40:22,5,商品不错，值得推荐！,10,43126,5,钻石会员,0,0
3161156,1454045392,2016-01-29 13:29:52,5,一如既往的信赖顺丰,9,43126,5,钻石会员,0,0
838147,1453990154,2016-01-28 22:09:14,5,味道很好，与便宜的猪肉不一样。,15,37198,3,银卡会员,0,0
23441115,1453362631,2016-01-21 15:50:31,5,有小时猪肉的香味,8,43126,2,普通会员,0,0
18496479,1453338321,2016-01-21 09:05:21,5,第二次购买了，很纯正的老味道，没掺水，也不太肥。,24,43126,3,银卡会员,0,3
4941143,1453290425,2016-01-20 19:47:05,5,不错，好吃，准备再次购买。,13,43126,2,普通会员,0,0
17163213,1453257133,2016-01-20 10:32:13,5,好，看起来还是不错的,10,37198,2,普通会员,0,0
13561214,1453102944,2016-01-18 15:42:24,5,好,1,43126,3,银卡会员,0,0
4836541,1453097815,2016-01-18 14:16:55,5,好,1,43126,3,银卡会员,0,0
